record time,gener time,old,new,odas,back nodes and time,up nodes and time
1678853610.22482,1678853610.0848694,0,5898,419.39274856899567,"[['40000006', 0, 1678853610.2058218], ['50000033', 129, 1678853610.22482]]","[['50000033', 0, 1678853610.104869], ['40000006', 129, 1678853610.16282]]"
1678853611.0230951,1678853610.1868198,0,30037,1912.6678114816084,"[['40000006', 0, 1678853610.94895], ['50000033', 129, 1678853611.0230951]]","[['50000033', 0, 1678853610.2488213], ['40000006', 129, 1678853610.613947]]"
1678853626.6187236,1678853610.3588202,0,61537,3770.5494637336496,"[['40000006', 0, 1678853626.515723], ['50000033', 129, 1678853626.6187236]]","[['50000033', 0, 1678853610.4378688], ['40000006', 129, 1678853626.393724]]"
1678853628.9729228,1678853610.4688678,0,72988,4854.439500935045,"[['40000006', 0, 1678853628.5368204], ['50000033', 129, 1678853628.9729228]]","[['50000033', 0, 1678853610.4978688], ['40000006', 129, 1678853626.727722]]"
1678853647.2006161,1678853610.549962,0,87337,6466.539553087424,"[['40000006', 0, 1678853646.783616], ['50000033', 129, 1678853647.2006161]]","[['50000033', 0, 1678853610.6359441], ['40000006', 129, 1678853643.591229]]"
1678853648.354019,1678853610.6559477,0,96045,7033.190343435838,"[['40000006', 0, 1678853647.8990214], ['50000033', 129, 1678853648.354019]]","[['50000033', 0, 1678853610.6989446], ['40000006', 129, 1678853647.6046164]]"
1678853658.5918992,1678853610.7439501,0,112542,7976.782471397202,"[['40000006', 0, 1678853658.1838996], ['50000033', 129, 1678853658.5918992]]","[['50000033', 0, 1678853610.7799466], ['40000006', 129, 1678853657.391902]]"
1678853673.2769268,1678853610.8828995,0,122063,8991.884654317271,"[['40000006', 0, 1678853672.7359254], ['50000033', 129, 1678853673.2769268]]","[['50000033', 0, 1678853610.9019475], ['40000006', 129, 1678853672.4159253]]"
1678853679.09867,1678853610.9479523,0,123564,9267.313687279342,"[['40000006', 0, 1678853679.0596707], ['50000033', 129, 1678853679.09867]]","[['50000033', 0, 1678853610.9599452], ['40000006', 129, 1678853677.2329652]]"
1678853705.7775848,1678853611.1371794,0,126117,9882.973510168884,"[['40000006', 0, 1678853705.6084864], ['50000033', 129, 1678853705.7775848]]","[['50000033', 0, 1678853611.20618], ['40000006', 129, 1678853703.3805041]]"
1678853763.8594608,1678853610.2728693,0,130024,11051.233721549286,"[['30000004', 0, 1678853626.3617234], ['40000006', 100, 1678853763.565465], ['50000033', 129, 1678853763.8594608]]","[['50000033', 0, 1678853610.3018677], ['40000006', 129, 1678853613.2329738], ['30000004', 100, 1678853626.2627237]]"
1678853766.4717503,1678853626.3547242,0,131170,11503.223796647975,"[['40000005', 0, 1678853765.0516567], ['50000033', 152, 1678853766.4717503]]","[['50000033', 0, 1678853626.4347246], ['40000005', 152, 1678853762.5634644]]"
1678853772.0238388,1678853626.4247236,0,133020,11819.412358111167,"[['40000006', 0, 1678853771.839756], ['50000033', 129, 1678853772.0238388]]","[['50000033', 0, 1678853626.492724], ['40000006', 129, 1678853771.0287511]]"
1678853779.429187,1678853626.5837245,0,134541,12130.000750883477,"[['40000006', 0, 1678853779.351189], ['50000033', 129, 1678853779.429187]]","[['50000033', 0, 1678853626.656723], ['40000006', 129, 1678853779.2171865]]"
1678853821.4154263,1678853657.4888992,0,138913,13488.681540354362,"[['40000005', 0, 1678853821.3034263], ['50000033', 152, 1678853821.4154263]]","[['50000033', 0, 1678853657.5308979], ['40000005', 152, 1678853819.0636022]]"
1678853823.312623,1678853610.727949,0,141041,13760.03713872753,"[['30000004', 0, 1678853669.8595219], ['40000005', 187, 1678853823.0516212], ['50000033', 152, 1678853823.312623]]","[['50000038', 0, 1678853610.7879453], ['40000006', 113, 1678853658.4999018], ['30000004', 100, 1678853666.5471444]]"
1678853824.8483336,1678853672.2608461,0,142533,14314.234988423343,"[['40000005', 0, 1678853824.6913323], ['50000033', 152, 1678853824.8483336]]","[['50000033', 0, 1678853672.334848], ['40000005', 152, 1678853821.4695256]]"
1678853826.3814023,1678853672.3248467,0,143683,14355.288608202152,"[['40000005', 0, 1678853825.8354023], ['50000033', 152, 1678853826.3814023]]","[['50000033', 0, 1678853672.3939254], ['40000005', 152, 1678853821.9725256]]"
1678853835.8380888,1678853643.187125,0,145182,14656.534765011811,"[['40000006', 0, 1678853835.6610878], ['50000033', 129, 1678853835.8380888]]","[['50000033', 0, 1678853643.2431226], ['40000006', 129, 1678853835.0920894]]"
1678853844.6887853,1678853610.9589515,0,146600,15004.90587898583,"[['30000004', 0, 1678853720.065186], ['40000005', 187, 1678853844.5337853], ['50000033', 152, 1678853844.687786]]","[['50000039', 0, 1678853611.0541794], ['40000006', 129, 1678853701.8462005], ['30000004', 100, 1678853718.3650947]]"
1678853845.4227858,1678853610.8189452,0,148006,15368.209369614551,"[['30000004', 0, 1678853683.470793], ['40000005', 187, 1678853844.6577864], ['50000033', 152, 1678853845.4227858]]","[['50000033', 0, 1678853610.8389466], ['40000006', 129, 1678853663.323857], ['30000004', 100, 1678853680.0747697]]"
1678853845.8411548,1678853643.3191237,0,149146,15503.260709148008,"[['40000006', 0, 1678853845.439786], ['50000033', 129, 1678853845.8411548]]","[['50000033', 0, 1678853643.400229], ['40000006', 129, 1678853844.5047843]]"
1678853881.4986024,1678853626.2847242,0,152600,16418.373639471367,"[['30000004', 0, 1678853789.1821887], ['40000005', 187, 1678853881.3246021], ['50000033', 152, 1678853881.4986024]]","[['50000033', 0, 1678853626.3697228], ['40000006', 129, 1678853770.600755], ['30000004', 100, 1678853784.4710686]]"
1678853881.6206024,1678853657.289834,0,153734,16448.41939028494,"[['40000006', 0, 1678853881.5116014], ['50000033', 129, 1678853881.6206024]]","[['50000033', 0, 1678853657.316834], ['40000006', 129, 1678853880.212401]]"
1678853883.2256978,1678853611.275133,0,155146,17011.40151527907,"[['30000004', 0, 1678853754.1681995], ['40000005', 187, 1678853883.1176977], ['50000033', 152, 1678853883.2256978]]","[['50000033', 0, 1678853611.3281806], ['40000006', 129, 1678853716.8488903], ['30000004', 100, 1678853750.5589068]]"
1678853889.6070569,1678853626.4797235,0,156562,17245.91693875114,"[['30000004', 0, 1678853808.4819899], ['40000005', 187, 1678853889.1850567], ['50000033', 152, 1678853889.6070569]]","[['50000038', 0, 1678853626.4917235], ['40000006', 113, 1678853771.487757], ['30000004', 100, 1678853808.1929913]]"
